mdntf_no,drgnm_no,herb_name,representative_name,drgnm_raw
511,425,소두구,소두구,"소두구(小豆蔲),소두구(小豆䓻)"
511,425,소두구,소두구,"소두구(小豆蔲),소두구(小豆䓻)"
512,427,소맥,소맥,소맥(小麥)
513,428,소목,소목,소목(蘇木)
514,429,소통초,소통초,소통초(小通草)
515,429,소통초,소통초,소통초(小通草)
516,430,소합향,소합향,"소합향(蘇合香),소합유(蘇合油)"
516,430,소합유,소합향,"소합향(蘇合香),소합유(蘇合油)"
517,432,속단,속단,속단(續斷)
518,433,속수자,속수자,"속수자(續隨子), 천금자(千金子)"
518,433,천금자,속수자,"속수자(續隨子), 천금자(千金子)"
519,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
519,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
519,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
520,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
520,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
520,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
521,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
521,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
521,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
522,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
522,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
522,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
523,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
523,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
523,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
524,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
524,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
524,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
525,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
525,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
525,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
526,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
526,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
526,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
527,434,테레빈유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
527,434,투르펜틴유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
527,434,송절유,테레빈유,"테레빈유, 투르펜틴유, 송절유(松節油)"
